,name,salary_from,salary_to,salary_currency,area_name,published_at
1737,Токарь-полуавтоматчик,35000,50000,RUR,Самара,2022-12-01T15:53:20+0300
1738,Тестировщик web-приложений,None,None,,Екатеринбург,2022-12-01T12:14:32+0300
1739,Fullstack web-разработчик стажер/junior,40000,60000,RUR,Санкт-Петербург,2022-12-01T15:46:00+0300
1740,"QA Automation Engineer Junior (Java/ Selenium), Remote work",None,None,,Батуми,2022-12-01T17:16:24+0300
1741,Младший инженер по тестированию,50000,None,RUR,Москва,2022-12-01T17:14:37+0300
1742,Junior IOS разработчик,None,None,,Москва,2022-12-01T16:29:47+0300
1743,Младший аналитик,None,None,,Москва,2022-12-01T13:12:25+0300
1744,Ночной удаленный ассистент,50000,None,RUR,Москва,2022-12-01T13:07:49+0300
1745,Оператор станков с ПУ (ученик),45000,80000,RUR,Киров (Кировская область),2022-12-01T15:31:49+0300
1746,IT специалист,2500000,4000000,UZS,Ташкент,2022-12-01T14:58:14+0300
1747,Графический дизайнер (Стажёр),None,9800,RUR,Санкт-Петербург,2022-12-01T15:22:18+0300
1748,Front-end разработчик,35000,None,RUR,Киров (Кировская область),2022-12-01T16:24:30+0300
1749,Менеджер проектов (дочерняя компания),None,None,,Москва,2022-12-01T15:27:26+0300
1750,Тестировщик ПО / QA Engineer,50000,None,RUR,Москва,2022-12-01T16:17:14+0300
1751,Шлифовщик,None,75000,RUR,Самара,2022-12-01T15:53:36+0300
1752,Начальник транспортного отдела,100000,250000,RUR,Москва,2022-12-01T15:21:38+0300
1753,Токарь,2000,3000,BYR,Минск,2022-12-01T15:55:13+0300
1754,Графический дизайнер,170000,250000,KZT,Астана,2022-12-01T12:10:36+0300
1755,Младший разработчик,None,None,,Москва,2022-12-01T13:12:24+0300
1756,QA Lead команды ручного тестирования,None,None,,Санкт-Петербург,2022-12-01T16:18:14+0300
1757,Токарь-полуавтоматчик,35000,50000,RUR,Самара,2022-12-01T15:53:20+0300
1758,Тестировщик web-приложений,None,None,,Екатеринбург,2022-12-01T12:14:32+0300
1759,Fullstack web-разработчик стажер/junior,40000,60000,RUR,Санкт-Петербург,2022-12-01T15:46:00+0300
1760,"QA Automation Engineer Junior (Java/ Selenium), Remote work",None,None,,Батуми,2022-12-01T17:16:24+0300
1761,Младший инженер по тестированию,50000,None,RUR,Москва,2022-12-01T17:14:37+0300
1762,Junior IOS разработчик,None,None,,Москва,2022-12-01T16:29:47+0300
1763,Младший аналитик,None,None,,Москва,2022-12-01T13:12:25+0300
1764,Ночной удаленный ассистент,50000,None,RUR,Москва,2022-12-01T13:07:49+0300
1765,Оператор станков с ПУ (ученик),45000,80000,RUR,Киров (Кировская область),2022-12-01T15:31:49+0300
1766,IT специалист,2500000,4000000,UZS,Ташкент,2022-12-01T14:58:14+0300
1767,Графический дизайнер (Стажёр),None,9800,RUR,Санкт-Петербург,2022-12-01T15:22:18+0300
1768,Front-end разработчик,35000,None,RUR,Киров (Кировская область),2022-12-01T16:24:30+0300
1769,Менеджер проектов (дочерняя компания),None,None,,Москва,2022-12-01T15:27:26+0300
1770,Тестировщик ПО / QA Engineer,50000,None,RUR,Москва,2022-12-01T16:17:14+0300
1771,Шлифовщик,None,75000,RUR,Самара,2022-12-01T15:53:36+0300
1772,Начальник транспортного отдела,100000,250000,RUR,Москва,2022-12-01T15:21:38+0300
1773,Токарь,2000,3000,BYR,Минск,2022-12-01T15:55:13+0300
1774,Графический дизайнер,170000,250000,KZT,Астана,2022-12-01T12:10:36+0300
1775,Младший разработчик,None,None,,Москва,2022-12-01T13:12:24+0300
1776,QA Lead команды ручного тестирования,None,None,,Санкт-Петербург,2022-12-01T16:18:14+0300
1777,Токарь-полуавтоматчик,35000,50000,RUR,Самара,2022-12-01T15:53:20+0300
1778,Тестировщик web-приложений,None,None,,Екатеринбург,2022-12-01T12:14:32+0300
1779,Fullstack web-разработчик стажер/junior,40000,60000,RUR,Санкт-Петербург,2022-12-01T15:46:00+0300
1780,"QA Automation Engineer Junior (Java/ Selenium), Remote work",None,None,,Батуми,2022-12-01T17:16:24+0300
1781,Младший инженер по тестированию,50000,None,RUR,Москва,2022-12-01T17:14:37+0300
1782,Junior IOS разработчик,None,None,,Москва,2022-12-01T16:29:47+0300
1783,Младший аналитик,None,None,,Москва,2022-12-01T13:12:25+0300
1784,Ночной удаленный ассистент,50000,None,RUR,Москва,2022-12-01T13:07:49+0300
1785,Оператор станков с ПУ (ученик),45000,80000,RUR,Киров (Кировская область),2022-12-01T15:31:49+0300
1786,IT специалист,2500000,4000000,UZS,Ташкент,2022-12-01T14:58:14+0300
